Feature,Beta,CI,p-value,FDR,Annotation 1,Annotation 2
ENZRXN1375.478,0.00025,"(-0.00017,0.00067)",0.244,0.658,"Zn-dependent dipeptidase, microsomal dipeptidase homolog",a dipeptide + H2O  <-->  2 amino acids
ENZRXN1375.1295,0.00028,"(-0.00019,0.00076)",0.247,0.658,D-alanyl-D-alanine carboxypeptidase,a lipid II + H2O  <-->  a N-acetylglucosamine--N-acetylmuramyl-(tetrapeptide) pyrophosphoryl-undecaprenol + D-alanine
ENZRXN1375.268,-0.00056,"(-0.00149,0.00038)",0.2482,0.658,peptidase T,a tripeptide + H2O  <-->  a dipeptide + a standard alpha amino acid
ENZRXN1375.1457,0.00035,"(-0.00024,0.00094)",0.2494,0.658,Aspartyl aminopeptidase,a protein + H2O  <-->  a peptide + a peptide
ENZRXNTTR.1317,-0.00126,"(-0.0034,0.00087)",0.2506,0.658,NA,NA
ENZRXN1375.1179,0.00023,"(-0.00016,0.00061)",0.2522,0.658,"HAD superfamily (subfamily IA) hydrolase, TIGR02254",an (S)-2-haloacid + H2O  <-->  an (R)-2-hydroxyacid + a halide anion
ENZRXN1375.1178,-0.00039,"(-0.00107,0.00028)",0.2536,0.658,ATP-dependent proteinase. Serine peptidase. MEROPS family S16,a protein + H2O  <-->  a peptide + a peptide
ENZRXN1375.459,-0.00033,"(-0.00089,0.00023)",0.2536,0.658,thymidine kinase,2'-deoxyuridine + ATP  <-->  dUMP + ADP + H+
ENZRXNMW7.642,-0.00054,"(-0.00147,0.00038)",0.2538,0.658,acetate kinase,ATP + acetate  <-->  ADP + acetyl phosphate
ENZRXN17PM.5,0.00071,"(-0.00051,0.00193)",0.2561,0.658,"4-alpha-glucanotransferase|4-alpha-glucanotransferase|4-alpha-glucanotransferase|4-alpha-glucanotransferase|4-alpha-glucanotransferase|4-alpha-glucanotransferase|2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase|2-hydroxyhepta-2,4-diene-1,7-dioate isomerase|arginyl-tRNA synthetase|ribonuclease H|orotate phosphoribosyltransferase|argininosuccinate lyase|argininosuccinate lyase|magnesium chelatase|histidine kinase|alpha-glucuronidase|alpha-glucuronidase|exopolyphosphatase|phosphoglucosamine mutase|phosphoglucosamine mutase|phosphoglucosamine mutase|protoporphyrinogen oxidase|thiol peroxidase|ribonuclease P|ribonuclease P|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|DNA polymerase V|DNA polymerase V|recombinase|DNA primase|DNA primase|helicase|lysozyme|seryl-tRNA synthetase|seryl-tRNA synthetase|riboflavin synthase subunit alpha|excinuclease ABC subunit A|tRNA(Ile)-lysidine synthetase|arabinose 5-phosphate isomerase|2-dehydro-3-deoxyphosphooctonate aldolase|alpha-L-arabinofuranosidase|alpha-mannosidase|alpha-mannosidase|mannose-6-phosphate isomerase|recombinase|3,4-dihydroxy-2-butanone 4-phosphate synthase|aspartate aminotransferase|aspartate aminotransferase|aspartate aminotransferase|aspartate aminotransferase|hypoxanthine phosphoribosyltransferase|hypoxanthine phosphoribosyltransferase|adenylate kinase|GTPase CgtA|ATPase P|triosephosphate isomerase|triosephosphate isomerase|alpha-mannosidase|alpha-mannosidase|DNA polymerase III subunit delta|IMP cyclohydrolase|3-ketoacyl-ACP reductase|alpha-galactosidase|alpha-galactosidase|alpha-galactosidase|alpha-galactosidase|arabinogalactan endo-1,4-beta-galactosidase|radical SAM protein|S-adenosylmethionine tRNA ribosyltransferase|S-ribosylhomocysteinase|mannose-6-phosphate isomerase|endopolygalacturonase|aldo/keto reductase|ribonucleoside-triphosphate reductase|haloacid dehalogenase|haloacid dehalogenase|phosphoserine phosphatase|phosphoserine phosphatase|anthranilate phosphoribosyltransferase|indole-3-glycerol phosphate synthase|N-(5'-phosphoribosyl)anthranilate isomerase|tryptophan synthase subunit alpha|aminopeptidase|aminopeptidase|aminopeptidase|peptidylprolyl isomerase|chorismate synthase|2', 3'-cyclic nucleotide 2'-phosphodiesterase|2', 3'-cyclic nucleotide 2'-phosphodiesterase|2', 3'-cyclic nucleotide 2'-phosphodiesterase|2', 3'-cyclic nucleotide 2'-phosphodiesterase|2', 3'-cyclic nucleotide 2'-phosphodiesterase|phosphoribosyl-ATP pyrophosphatase|phosphoribosyl-ATP pyrophosphatase|fructose 1,6-bisphosphatase|keto-deoxy-phosphogluconate aldolase|keto-deoxy-phosphogluconate aldolase|ribose-phosphate pyrophosphokinase|pyruvate formate lyase-activating enzyme 1|elongation factor Tu|DNA-directed RNA polymerase subunit beta|uridylate kinase|O-acetylhomoserine aminocarboxypropyltransferase","maltohexaose + maltose  <-->  maltoheptaose + D-glucopyranose|a maltodextrin(n+1) + D-glucopyranose  <-->  a maltodextrin(n) + maltose|a long-linear glucan + alpha-D-glucopyranose  <-->  a short glucan + a short glucan|maltohexaose + D-glucopyranose  <-->  maltopentaose + maltose|maltopentaose + D-glucopyranose  <-->  maltotetraose + maltose|SHG-glucosyln+1 + D-glucopyranose  <-->  SHG-glucosyln + maltose|2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol  <-->  2-C-methyl-D-erythritol-2,4-cyclodiphosphate + CMP|(4Z)-2-hydroxyhepta-2,4-dienedioate  <-->  (4Z)-2-oxohept-4-enedioate|a tRNAarg + L-arginine + ATP + H+  <-->  an L-arginyl-[tRNAarg] + AMP + diphosphate|a RNA-DNA hybrid + n H2O  <-->  DNA + n a nucleoside 5'-monophosphate|orotidine 5'-phosphate + diphosphate  <-->  5-phospho-alpha-D-ribose 1-diphosphate + orotate|L-arginino-succinate  <-->  L-arginine + fumarate|canavaninosuccinate  <-->  L-canavanine + fumarate|ATP + protoporphyrin IX + Mg2+ + H2O  <-->  Mg-protoporphyrin + ADP + phosphate + 3 H+|a [protein]-L-histidine + ATP  <-->  a [protein]-N-phospho-L-histidine + ADP + H+|an alpha-D-glucuronoside + H2O  <-->  D-glucopyranuronate + an alcohol|p-nitrophenyl-alpha-D-glucuronide + H2O  <-->  D-glucopyranuronate + 4-nitrophenol + H+|(polyphosphate)(n) + H2O  <-->  (polyphosphate)(n-1) + phosphate|D-glucosamine 6-phosphate  <-->  D-glucosamine 1-phosphate|a phosphorylated phosphoglucosamine mutase + D-glucosamine 6-phosphate  <-->  glucosamine 1,6-diphosphate + a phosphoglucosamine mutase|glucosamine 1,6-diphosphate + a phosphoglucosamine mutase  <-->  D-glucosamine 1-phosphate + a phosphorylated phosphoglucosamine mutase|protoporphyrinogen IX + 3 oxygen  <-->  protoporphyrin IX + 3 hydrogen peroxide|a reduced thioredoxin + an organic hydroperoxide  <-->  an oxidized thioredoxin + an alcohol + H2O|a tRNA precursor with a 5' extension and a short 3' extension + H2O  <-->  a tRNA precursor with a short 3' extension + a single-stranded RNA|a tRNA precursor with a 5' extension + H2O  <-->  an uncharged tRNA + a single-stranded RNA|a 2'-deoxyribonucleoside 5'-diphosphate + an oxidized thioredoxin + H2O  <-->  a ribonucleoside diphosphate + a reduced thioredoxin|dGDP + an oxidized thioredoxin + H2O  <-->  GDP + a reduced thioredoxin|dCDP + an oxidized thioredoxin + H2O  <-->  CDP + a reduced thioredoxin|dADP + an oxidized thioredoxin + H2O  <-->  ADP + a reduced thioredoxin|dUDP + an oxidized NrdH glutaredoxin-like protein + H2O  <-->  UDP + a reduced NrdH glutaredoxin-like protein|dGDP + an oxidized NrdH glutaredoxin-like protein + H2O  <-->  GDP + a reduced NrdH glutaredoxin-like protein|dCDP + an oxidized NrdH glutaredoxin-like protein + H2O  <-->  CDP + a reduced NrdH glutaredoxin-like protein|dUDP + an oxidized thioredoxin + H2O  <-->  UDP + a reduced thioredoxin|dADP + an oxidized NrdH glutaredoxin-like protein + H2O  <-->  ADP + a reduced NrdH glutaredoxin-like protein|a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate|a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate|a DNA segment  <-->  a DNA segment in reverse orientation|a single stranded DNA  <-->  a short RNA Segment|a single stranded DNA  <-->  a short RNA Segment|a supercoiled duplex DNA + ATP + H2O  <-->  a single stranded DNA + ADP + phosphate|a peptidoglycan + H2O  <-->  a N-acetylmuramoyl-pentapeptide-diphosphoundecaprenol + N-acetyl-D-glucosamine|a tRNAser + L-serine + ATP + H+  <-->  an L-seryl-[tRNAser] + AMP + diphosphate|a tRNAsec + L-serine + ATP + H+  <-->  an L-seryl-[tRNAsec] + AMP + diphosphate|2 6,7-dimethyl-8-(1-D-ribityl)lumazine + H+  <-->  5-amino-6-(D-ribitylamino)uracil + riboflavin|DNA with lesion + H2O  <-->  DNA without lesion|a cytidine34 in tRNAIle2 + L-lysine + ATP  <-->  a lysidine34 in tRNAIle2 + AMP + diphosphate + 2 H+|aldehydo-D-arabinose 5-phosphate  <-->  D-ribulose 5-phosphate|D-arabinose 5-phosphate + phosphoenolpyruvate + H2O  <-->  3-deoxy-D-manno-octulosonate 8-phosphate + phosphate|a (1->5)-alpha-L-arabinan oligosaccharide + n H2O  <-->  n alpha-L-arabinofuranose|2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate + H2O  <-->  D-mannopyranose 6-phosphate + D-glycerate|an alpha-D-mannoside + H2O  <-->  alpha-D-mannose + a non glycosylated sugar acceptor|D-mannopyranose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate|a DNA segment  <-->  a DNA segment in reverse orientation|D-ribulose 5-phosphate  <-->  formate + 1-deoxy-L-glycero-tetrulose 4-phosphate + H+|L-aspartate + 2-oxoglutarate  <-->  L-glutamate + oxaloacetate|L-aspartate + 2-oxoglutarate  <-->  L-glutamate + oxaloacetate|L-phenylalanine + 2-oxoglutarate  <-->  2-oxo-3-phenylpropanoate + L-glutamate|L-cysteate + 2-oxoglutarate  <-->  3-sulfopyruvate + L-glutamate|IMP + diphosphate  <-->  hypoxanthine + 5-phospho-alpha-D-ribose 1-diphosphate|GMP + diphosphate  <-->  guanine + 5-phospho-alpha-D-ribose 1-diphosphate|ATP + AMP  <-->  2 ADP|GTP + H2O  <-->  GDP + phosphate + H+|ATP + H2O  <-->  ADP + phosphate + H+|D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate|D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate|2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate + H2O  <-->  D-mannopyranose 6-phosphate + D-glycerate|an alpha-D-mannoside + H2O  <-->  alpha-D-mannose + a non glycosylated sugar acceptor|a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate|IMP + H2O  <-->  5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide|a (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+  <-->  a 3-oxoacyl-[acp] + NADPH + H+|an alpha-D-galactoside + H2O  <-->  alpha-D-galactose + a non galactosylated galactose acceptor|raffinose + H2O  <-->  alpha-D-galactose + sucrose|melibiose + H2O  <-->  D-galactopyranose + D-glucopyranose|stachyose + H2O  <-->  raffinose + alpha-D-galactose|a plant arabinogalactan type I + n H2O  <-->  n a galactotetraose|coproporphyrinogen III + 2 S-adenosyl-L-methionine  <-->  protoporphyrinogen IX + 2 CO2 + 2 L-methionine + 2 5'-deoxyadenosine|a 7-aminomethyl-7-deazaguanosine34 in tRNA + S-adenosyl-L-methionine  <-->  an epoxyqueuosine34 in tRNA + adenine + L-methionine + H+|S-ribosyl-L-homocysteine  <-->  L-homocysteine + autoinducer 2|D-mannopyranose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate|(1,4-alpha-D-galacturonosyl)(n+m) + H2O  <-->  (1,4-alpha-D-galacturonosyl)(m) + (1,4-alpha-D-galacturonosyl)(m)|a (1',5'-dihydroxy-3'-oxo-2'-(3''-oxobutanoyl)cyclohexyl)-3,5-dioxohexanethioate-[PKS-acp] + NADP+  <-->  a (1'-hydroxy-3',5'-dioxo-2'-(3''-oxobutanoyl)cyclohexyl)-3,5-dioxohexanethioate-[PKS-acp] + NADPH + H+|a reduced flavodoxin + a ribonucleoside triphosphate  <-->  an oxidized flavodoxin + a deoxyribonucleoside triphosphate + H2O|an (S)-2-haloacid + H2O  <-->  an (R)-2-hydroxyacid + a halide anion + H+|chloroacetate + H2O  <-->  glycolate + chloride + H+|3-phospho-L-serine + H2O  <-->  L-serine + phosphate|L(or D)-O-phosphoserine + H2O + H+  <-->  serine + phosphate|N-(5-phosphoribosyl)-anthranilate + diphosphate  <-->  anthranilate + 5-phospho-alpha-D-ribose 1-diphosphate|1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate + H+  <-->  (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + CO2 + H2O|N-(5-phosphoribosyl)-anthranilate  <-->  1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate|(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate  <-->  indole + D-glyceraldehyde 3-phosphate|a protein + H2O  <-->  a peptide + a standard alpha amino acid|a peptide with an N-terminal X-L-proline + H2O  <-->  a standard alpha amino acid + a peptide with an N-terminal L-proline + H+|a protein + H2O  <-->  a standard alpha amino acid + a peptide|a [protein]-L-proline (omega = 180)  <-->  a [protein]-L-proline (omega = 0)|5-enolpyruvyl-shikimate 3-phosphate  <-->  chorismate + phosphate|a nucleoside 2',3'-cyclic phosphate + H2O  <-->  a ribonucleoside 3'-phosphate + H+|adenosine 2',3'-cyclic monophosphate + H2O  <-->  adenosine 3'-monophosphate + H+|guanosine 2',3'-cyclic monophosphate + H2O  <-->  guanosine 3'-monophosphate + H+|uridine 2'3'-cyclic monophosphate + H2O  <-->  uridine 3'-monophospha"
ENZRXN1375.1043,0.00035,"(-0.00025,0.00096)",0.2585,0.658,3-dehydroquinate synthase,3-deoxy-D-arabino-heptulosonate-7-phosphate  <-->  3-dehydroquinate + phosphate
ENZRXN1375.1445,-0.00033,"(-0.0009,0.00024)",0.2658,0.658,"ATP-dependent DNA helicase, RecQ family",a supercoiled duplex DNA + ATP  <-->  a single stranded DNA + ADP + phosphate
ENZRXN1375.1271,0.00018,"(-0.00014,0.0005)",0.266,0.658,adenosylcobyric acid synthase (glutamine-hydrolysing),"adenosyl-cobyrinate a,c-diamide + 4 L-glutamine + 4 ATP + 4 H2O  <-->  4 L-glutamate + adenosylcobyrate + 4 ADP + 4 phosphate + 4 H+"
ENZRXN1375.1468,0.00042,"(-0.00032,0.00115)",0.2677,0.658,D-alanyl-D-alanine carboxypeptidase,"UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + H2O  <-->  UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + D-alanine"
ENZRXN1375.515,0.00022,"(-0.00017,0.00062)",0.269,0.658,pseudouridylate synthase I,a uridine38-40 in tRNA  <-->  a pseudouridine38-40 in tRNA
ENZRXN1375.951,-0.00036,"(-0.00099,0.00027)",0.2711,0.658,folylpolyglutamate synthase/dihydrofolate synthase,tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  <-->  tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate
ENZRXN1375.1495,0.00044,"(-0.00034,0.00121)",0.2739,0.658,"Predicted NADH:ubiquinone oxidoreductase, subunit RnfA",NADH + a ubiquinone + H+  <-->  NAD+ + an ubiquinol
ENZRXN1375.885,-0.00058,"(-0.00162,0.00046)",0.2752,0.658,Galactokinase,alpha-D-galactose + ATP  <-->  alpha-D-galactose 1-phosphate + ADP + H+
ENZRXN1375.1433,0.00026,"(-0.0002,0.00072)",0.2764,0.658,D-alanyl-D-alanine carboxypeptidase,"UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + H2O  <-->  UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + D-alanine"
ENZRXN1375.1367,-0.00047,"(-0.00132,0.00037)",0.2781,0.658,ATP-dependent DNA helicase RecG,a supercoiled duplex DNA + ATP  <-->  a single stranded DNA + ADP + phosphate
ENZRXN1375.922,-0.00027,"(-0.00077,0.00022)",0.2792,0.658,deoxyuridine 5'-triphosphate nucleotidohydrolase,dUTP + H2O  <-->  dUMP + diphosphate + H+
ENZRXN1375.407,0.00039,"(-0.00032,0.00109)",0.2869,0.658,citrate lyase acyl carrier protein,a citryl-[holo citrate lyase acyl-carrier protein]  <-->  oxaloacetate + an acetyl-[holo citrate lyase acyl-carrier protein]
ENZRXN1375.1286,-0.00089,"(-0.00253,0.00074)",0.289,0.658,precorrin-6x reductase,precorrin-6B + NADP+  <-->  precorrin-6A + NADPH + H+
ENZRXN1375.1419,0.00034,"(-0.00028,0.00096)",0.2899,0.658,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,a long-chain fatty acid + ATP + coenzyme A  <-->  a long-chain acyl-CoA + AMP + diphosphate
ENZRXN1375.1491,0.00028,"(-0.00023,0.00079)",0.2901,0.658,"Predicted NADH:ubiquinone oxidoreductase, subunit RnfD",NADH + a ubiquinone + H+  <-->  NAD+ + an ubiquinol
ENZRXN1375.636,-0.00087,"(-0.00248,0.00073)",0.2906,0.658,3-oxoacyl-[acyl-carrier-protein] synthase II,"a cis,cis-delta11,29-C48:2-[acp] + a malonyl-[acp] + H+  <-->  a cis,cis-delta13,31-3-oxo-C50:2-[acp] + a holo-[acyl-carrier protein] + CO2"
ENZRXN1375.937,-0.00042,"(-0.00119,0.00035)",0.2908,0.658,LL-diaminopimelate aminotransferase apoenzyme,"L,L-diaminopimelate + 2-oxoglutarate  <-->  (S)-2,3,4,5-tetrahydrodipicolinate + L-glutamate + H2O + H+"
